Date,Platform,Campaign type,Cost,Revenue,Click Through Rate,Conversion Rate,ROI
2024-01-01,Google,Cross-network,2613.7,19245.8,0.010168003977214339,0.03895110625512155,7.363431151241535
2024-01-02,Google,Cross-network,3580.9,23205.2,0.009335161330248589,0.040209077001529835,6.480270323103131
2024-01-03,Google,Cross-network,3550.8,24182.9,0.009186104685433499,0.044432461579940685,6.810549735270925
2024-01-04,Google,Cross-network,3176.2,27999.4,0.010260323920970068,0.049917355371900826,8.815376865436686
2024-01-05,Google,Cross-network,2950.6,20000.4,0.010583444732610933,0.042607683352735744,6.778417948891752
2024-01-06,Google,Cross-network,2728.8,20127.8,0.011237678709471715,0.04132762312633833,7.37606273819994
2024-01-07,Google,Cross-network,2453.6,21786.1,0.011410758065301748,0.051479795105293116,8.879238669709814
2024-01-08,Google,Cross-network,3109.3,28345.5,0.011296424743048112,0.05408875244208764,9.116360595632457
2024-01-09,Google,Cross-network,3189.9,33367.7,0.010369238123622329,0.05950483779169038,10.460421956801152
2024-01-10,Google,Cross-network,3381.9,29859.6,0.009644603340208287,0.055200222469410455,8.829238002306395
2024-01-11,Google,Cross-network,3822.9,32841.8,0.008717683512452902,0.05984546360917248,8.590808025321092
2024-01-12,Google,Cross-network,3713.3,25686.0,0.00878298594987595,0.04302618328298087,6.917297282740419
2024-01-13,Google,Cross-network,3656.9,22881.5,0.00906522137463474,0.038212765957446805,6.257075665180891
2024-01-14,Google,Cross-network,4283.0,21147.6,0.009155524058653716,0.03458546765319674,4.937567125846369
2024-01-15,Google,Cross-network,5762.4,29404.2,0.008193994028632396,0.03854899837574445,5.102769679300292
2024-01-16,Google,Cross-network,6016.4,40563.7,0.007642754648239928,0.03960433707437702,6.742188019413603
2024-01-17,Google,Cross-network,6227.9,30975.0,0.007366993226447032,0.03479617710161888,4.9735866022254696
2024-01-18,Google,Cross-network,5253.7,30676.2,0.006753948782042008,0.04236554238833182,5.83897063022251
2024-01-19,Google,Cross-network,4949.1,17963.4,0.006878141835811795,0.03600729261622607,3.6296296296296298
2024-01-20,Google,Cross-network,3834.4,20467.4,0.007953237435473734,0.033496115427303,5.337836428124349
2024-01-21,Google,Cross-network,3572.7,16318.0,0.007362156716759633,0.02782768947247178,4.567414000615781
2024-01-22,Google,Cross-network,5949.8,25326.6,0.006621972910110822,0.03227272727272727,4.256714511412148
2024-01-23,Google,Cross-network,6206.2,23666.7,0.006545327999037106,0.03178093144113532,3.8133962811382167
2024-01-24,Google,Cross-network,6547.0,26729.2,0.006596642958158177,0.03226567105521713,4.08266381548801
2024-01-25,Google,Cross-network,6593.0,33093.1,0.006699085517525193,0.03567262830482115,5.0194296981647195
2024-01-26,Google,Cross-network,4928.2,26971.7,0.006830395334546287,0.040308710033076074,5.4729312933728345
2024-01-27,Google,Cross-network,3718.3,14649.1,0.007024671050027627,0.03008789722785666,3.9397305220127476
2024-01-28,Google,Cross-network,4177.4,18835.5,0.007588669437867769,0.030914634146341467,4.508905060563988
2024-01-29,Google,Cross-network,6681.0,23478.7,0.006717866861401747,0.03044436283510834,3.5142493638676844
2024-01-30,Google,Cross-network,6678.5,27631.0,0.006447063564017326,0.03213478915662651,4.137306281350603
2024-01-31,Google,Cross-network,7546.1,30785.7,0.006469663331721565,0.03282442748091603,4.079683545142524
2024-02-01,Google,Cross-network,5912.3,25285.1,0.006476465261897819,0.030252764612954185,4.27669434906889
2024-02-02,Google,Cross-network,5955.0,29671.1,0.006492752261370147,0.03105527638190955,4.9825524769101595
2024-02-03,Google,Cross-network,4724.3,17781.0,0.0069548890057321115,0.02541512014065247,3.7637321931291408
2024-02-04,Google,Cross-network,4789.7,21765.1,0.007415004528404885,0.029317717047778396,4.544146815040608
2024-02-05,Google,Cross-network,7158.400000000001,27779.1,0.0067853869446084,0.03419377652050919,3.880629749664729
2024-02-06,Google,Cross-network,6497.8,35346.9,0.0065250788345955855,0.03853779429987608,5.43982578718951
2024-02-07,Google,Cross-network,7535.9,29054.9,0.007045332021467361,0.034424746743849495,3.855531522445893
2024-02-08,Google,Cross-network,6872.5,27075.5,0.0066693982209651195,0.028359096313912015,3.939687158966897
2024-02-09,Google,Cross-network,6508.7,26756.5,0.006695183187651107,0.03222222222222222,4.1108823574600155
2024-02-10,Google,Cross-network,4756.8,19764.3,0.006925001931867492,0.02854077253218884,4.154957114026236
2024-02-11,Google,Cross-network,4307.4,19401.2,0.0073924553275976175,0.028222918531781556,4.504155639132656
2024-02-12,Google,Cross-network,7246.6,34666.9,0.00651690960235264,0.034804823216840385,4.7838848563464245
2024-02-13,Google,Cross-network,5632.799999999999,25159.300000000003,0.006570174836752409,0.03754824063564132,4.46657079960233
2024-02-14,Google,Cross-network,5139.0,27756.2,0.006772921246605457,0.037708830548926014,5.4010897061685155
2024-02-15,Google,Cross-network,5189.3,29258.800000000003,0.007074867846972454,0.03707533234859675,5.63829418225965
2024-02-16,Google,Cross-network,5052.3,24016.6,0.006879466256765817,0.03786546232469694,4.753597371494171
2024-02-17,Google,Cross-network,3712.6,15003.1,0.007354001178829965,0.027047146401985113,4.041130205246997
2024-02-18,Google,Cross-network,3370.2,18292.8,0.007526529849001917,0.03339130434782609,5.427808438668328
2024-02-19,Google,Cross-network,5989.5,31424.4,0.0069683055966544795,0.045580171090151354,5.246581517655898
2024-02-20,Google,Cross-network,5433.6,31916.4,0.007132761505794238,0.04392156862745098,5.873895759717314
2024-02-21,Google,Cross-network,6001.400000000001,35613.9,0.007135485220801891,0.04017505470459518,5.934265338087779
2024-02-22,Google,Cross-network,4810.5,18437.8,0.007195270128089384,0.02643867924528302,3.8328240307660324
2024-02-23,Google,Cross-network,4926.4,27778.2,0.007002142446569473,0.03500466417910448,5.638640792465087
2024-02-24,Google,Cross-network,4147.6,23326.8,0.007521265328055374,0.035033310360670804,5.624168193654161
2024-02-25,Google,Cross-network,4158.6,21419.6,0.007583770169953132,0.029352800174329917,5.150675708171018
2024-02-26,Google,Cross-network,5747.3,25545.5,0.007396520984917843,0.03422231270358306,4.44478276756042
2024-02-27,Google,Cross-network,5885.8,26972.6,0.0071778056249630654,0.03709098585602702,4.5826565632539324
2024-02-28,Google,Cross-network,5156.9,22990.6,0.007144286507352466,0.03245990512762593,4.45822102425876
2024-02-29,Google,Cross-network,4681.9,30871.1,0.007203816464496332,0.038721178987401954,6.593711954548367
2024-03-01,Google,Cross-network,5051.7,27751.6,0.00818360344116681,0.037916310845431254,5.493517033869787
2024-03-02,Google,Cross-network,4452.700000000001,24932.7,0.008927879669118906,0.03336024217961654,5.599456509533541
2024-03-03,Google,Cross-network,5137.9,32623.2,0.009132917990427617,0.038929088277858175,6.349520232001402
2024-03-04,Google,Cross-network,6353.799999999999,41497.7,0.008267111559906924,0.03885643476721544,6.531162453964557
2024-03-05,Google,Cross-network,6322.5,28449.4,0.007776147588823763,0.03261851015801354,4.499707394226967
2024-03-06,Google,Cross-network,6413.6,32376.7,0.007732421692344917,0.04004607410251488,5.048132094299613
2024-03-07,Google,Cross-network,5245.3,24073.9,0.007690814940403844,0.03837981407702523,4.589613558805025
2024-03-08,Google,Cross-network,4818.2,25388.7,0.007657933215958939,0.038796882610813446,5.269332945913412
2024-03-09,Google,Cross-network,3951.8,20279.7,0.007969208753793392,0.02793011941618753,5.131762741029404
2024-03-10,Google,Cross-network,3688.6,30093.7,0.007668879520845992,0.03484251968503937,8.15856964702055
2024-03-11,Google,Cross-network,6117.7,28059.4,0.007340737903740585,0.03915273132664437,4.586593000637495
2024-03-12,Google,Cross-network,5446.200000000001,32301.300000000003,0.0076802048519777006,0.042062230297524414,5.930979398479674
2024-03-13,Google,Cross-network,5055.7,28127.800000000003,0.007478341633705382,0.04049488460623364,5.563581699863521
2024-03-14,Google,Cross-network,5257.2,35037.1,0.007384151878418426,0.03963298379408961,6.66459331963783
2024-03-15,Google,Cross-network,5369.2,19552.6,0.007431063179855281,0.03190633869441817,3.6416225880950606
2024-03-16,Google,Cross-network,3717.8,26380.800000000003,0.00786139036446167,0.033700171191000244,7.095809349615364
2024-03-17,Google,Cross-network,3840.3,17959.699999999997,0.008356223688531932,0.029321125502456455,4.676639845845376
2024-03-18,Google,Cross-network,5694.5,31234.4,0.007560226949723935,0.04274312119302667,5.4850118535428924
2024-03-19,Google,Cross-network,5863.2,29516.4,0.007483064377305759,0.03712223725755525,5.03417928776095
2024-03-20,Google,Cross-network,4667.8,21159.4,0.00764655731552604,0.04065084022405975,4.533056257765971
2024-03-21,Google,Cross-network,4790.1,30264.5,0.007439886789523652,0.047405029427501334,6.318135320765745
