Date,Campaign type,Impressions,Clicks,Cost,Conversions,Revenue
2024-01-01,Cross-network,360051.0,3661.0,2613.7,142.6,19245.8
2024-01-02,Cross-network,420132.0,3922.0,3580.9,157.70000000000002,23205.2
2024-01-03,Cross-network,403762.0,3709.0,3550.8,164.8,24182.899999999998
2024-01-04,Cross-network,353790.0,3630.0,3176.2,181.20000000000002,27999.4
2024-01-05,Cross-network,324658.0,3436.0,2950.6,146.4,20000.399999999998
2024-01-06,Cross-network,332453.0,3736.0,2728.7999999999997,154.4,20127.8
2024-01-07,Cross-network,307955.0,3514.0,2453.6,180.9,21786.1
2024-01-08,Cross-network,317180.0,3583.0,3109.2999999999997,193.8,28345.5
2024-01-09,Cross-network,338887.0,3514.0,3189.9,209.10000000000002,33367.7
2024-01-10,Cross-network,372851.0,3596.0,3381.8999999999996,198.5,29859.6
2024-01-11,Cross-network,460214.0,4012.0,3822.8999999999996,240.1,32841.8
2024-01-12,Cross-network,452238.0,3972.0,3713.3,170.9,25686.0
2024-01-13,Cross-network,518465.0,4700.0,3656.9,179.6,22881.5
2024-01-14,Cross-network,575718.0,5271.0,4283.0,182.29999999999998,21147.600000000002
2024-01-15,Cross-network,676227.0,5541.0,5762.4,213.6,29404.2
2024-01-16,Cross-network,687841.0,5257.0,6016.4,208.2,40563.7
2024-01-17,Cross-network,695942.0,5127.0,6227.9,178.39999999999998,30975.0
2024-01-18,Cross-network,649694.0,4388.0,5253.7,185.9,30676.2
2024-01-19,Cross-network,637963.0,4388.0,4949.1,158.0,17963.4
2024-01-20,Cross-network,566436.0,4505.0,3834.4,150.9,20467.4
2024-01-21,Cross-network,589637.0,4341.0,3572.7,120.8,16318.0
2024-01-22,Cross-network,730900.0,4840.0,5949.8,156.2,25326.6
2024-01-23,Cross-network,764362.0,5003.0,6206.2,159.0,23666.7
2024-01-24,Cross-network,771453.0,5089.0,6547.0,164.2,26729.2
2024-01-25,Cross-network,767866.0,5144.0,6593.0,183.5,33093.1
2024-01-26,Cross-network,663944.0,4535.0,4928.2,182.8,26971.7
2024-01-27,Cross-network,631631.0,4437.0,3718.2999999999997,133.5,14649.1
2024-01-28,Cross-network,648335.0,4920.0,4177.4,152.10000000000002,18835.5
2024-01-29,Cross-network,810674.0,5446.0,6681.0,165.8,23478.7
2024-01-30,Cross-network,823941.0,5312.0,6678.5,170.7,27631.0
2024-01-31,Cross-network,870679.0,5633.0,7546.1,184.9,30785.7
2024-02-01,Cross-network,781908.0,5064.0,5912.3,153.2,25285.1
2024-02-02,Cross-network,766239.0,4975.0,5955.0,154.5,29671.1
2024-02-03,Cross-network,736029.0,5119.0,4724.3,130.1,17781.0
2024-02-04,Cross-network,725421.0,5379.0,4789.7,157.7,21765.1
2024-02-05,Cross-network,833556.0,5656.0,7158.400000000001,193.39999999999998,27779.1
2024-02-06,Cross-network,742060.0,4842.0,6497.8,186.60000000000002,35346.9
2024-02-07,Cross-network,784633.0,5528.0,7535.9,190.3,29054.9
2024-02-08,Cross-network,756590.0,5046.0,6872.5,143.10000000000002,27075.5
2024-02-09,Cross-network,725895.0,4860.0,6508.7,156.6,26756.5
2024-02-10,Cross-network,672924.0,4660.0,4756.8,133.0,19764.3
2024-02-11,Cross-network,604400.0,4468.0,4307.4,126.1,19401.2
2024-02-12,Cross-network,750816.0,4893.0,7246.6,170.3,34666.9
2024-02-13,Cross-network,670454.0,4405.0,5632.799999999999,165.4,25159.300000000003
2024-02-14,Cross-network,556776.0,3771.0,5139.0,142.2,27756.199999999997
2024-02-15,Cross-network,574145.0,4062.0,5189.3,150.6,29258.800000000003
2024-02-16,Cross-network,611530.0,4207.0,5052.3,159.3,24016.6
2024-02-17,Cross-network,548001.0,4030.0,3712.6000000000004,109.0,15003.1
2024-02-18,Cross-network,534775.0,4025.0,3370.2,134.4,18292.8
2024-02-19,Cross-network,654248.0,4559.0,5989.5,207.8,31424.4
2024-02-20,Cross-network,607759.0,4335.0,5433.6,190.4,31916.4
2024-02-21,Cross-network,640461.0,4570.0,6001.400000000001,183.60000000000002,35613.9
2024-02-22,Cross-network,589276.0,4240.0,4810.5,112.1,18437.8
2024-02-23,Cross-network,612384.0,4288.0,4926.4,150.1,27778.2
2024-02-24,Cross-network,578759.0,4353.0,4147.6,152.5,23326.8
2024-02-25,Cross-network,605108.0,4589.0,4158.6,134.7,21419.6
2024-02-26,Cross-network,664096.0,4912.0,5747.3,168.1,25545.5
2024-02-27,Cross-network,659951.0,4737.0,5885.8,175.7,26972.6
2024-02-28,Cross-network,619656.0,4427.0,5156.9,143.7,22990.6
2024-02-29,Cross-network,583996.0,4207.0,4681.9,162.9,30871.1
2024-03-01,Cross-network,572364.0,4684.0,5051.7,177.6,27751.6
2024-03-02,Cross-network,555003.0,4955.0,4452.700000000001,165.29999999999998,24932.7
2024-03-03,Cross-network,605283.0,5528.0,5137.9,215.20000000000002,32623.199999999997
2024-03-04,Cross-network,683310.0,5649.0,6353.799999999999,219.5,41497.7
2024-03-05,Cross-network,683629.0,5316.0,6322.5,173.4,28449.4
2024-03-06,Cross-network,673657.0,5209.0,6413.6,208.6,32376.7
2024-03-07,Cross-network,587454.0,4518.0,5245.3,173.4,24073.9
2024-03-08,Cross-network,536176.0,4106.0,4818.2,159.3,25388.7
