Date,Impressions,Reach,Cost,Clicks,Conversions,Revenue,Campaign type
2024-01-01,47594.0,35114.0,275.6,1023.0,12.0,2416.5,Meta
2024-01-02,40478.0,28926.0,269.2,836.0,22.0,3307.0,Meta
2024-01-03,35012.0,24361.0,262.09999999999997,705.0,16.0,2179.6,Meta
2024-01-04,26411.0,17234.0,193.79999999999998,633.0,10.0,1962.0,Meta
2024-01-05,21484.0,14041.0,175.7,506.0,10.0,1763.5,Meta
2024-01-06,22972.0,14908.0,174.7,487.0,11.0,1758.9,Meta
2024-01-07,27259.0,15753.0,188.0,513.0,9.0,925.7,Meta
2024-01-08,33894.0,20946.0,290.3,800.0,12.0,2319.5,Meta
2024-01-09,35918.0,24224.0,280.4,756.0,10.0,1482.3,Meta
2024-01-10,36039.0,25432.0,279.0,804.0,12.0,899.0,Meta
2024-01-11,36579.0,25297.0,280.1,788.0,10.0,1194.4,Meta
2024-01-12,40582.0,27391.0,360.2,718.0,11.0,1879.6,Meta
2024-01-13,43070.0,28339.0,372.5,928.0,12.0,2302.7,Meta
2024-01-14,45194.0,29322.0,406.79999999999995,986.0,15.0,1470.3,Meta
2024-01-15,46596.0,29794.0,404.4,983.0,21.0,4495.900000000001,Meta
2024-01-16,48032.0,28726.0,435.4,976.0,20.0,2475.1,Meta
2024-01-17,49171.0,28845.0,475.9,889.0,20.0,3228.5,Meta
2024-01-18,47004.0,28693.0,482.7,949.0,19.0,4392.900000000001,Meta
2024-01-19,48957.0,29709.0,479.40000000000003,1080.0,1.0,129.6,Meta
2024-01-20,49181.0,29735.0,476.90000000000003,933.0,2.0,336.0,Meta
2024-01-21,52106.0,32350.0,502.90000000000003,963.0,2.0,25.6,Meta
2024-01-22,51483.0,31799.0,519.7,871.0,4.0,483.5,Meta
2024-01-23,29300.0,18995.0,323.9,523.0,3.0,96.8,Meta
2024-01-24,22277.0,14055.0,177.0,328.0,1.0,0.0,Meta
2024-01-25,23030.0,14358.0,173.10000000000002,312.0,4.0,321.3,Meta
2024-01-26,22508.0,13605.0,194.0,307.0,3.0,148.8,Meta
2024-01-27,23234.0,14547.0,185.3,360.0,0.0,0.0,Meta
2024-01-28,23933.0,15315.0,187.1,394.0,1.0,79.2,Meta
2024-01-29,24609.0,15587.0,182.2,319.0,5.0,1242.6,Meta
2024-01-30,23313.0,14493.0,170.3,354.0,3.0,1315.4,Meta
2024-01-31,24051.0,15396.0,175.89999999999998,343.0,0.0,0.0,Meta
2024-02-01,25909.0,16122.0,179.0,408.0,4.0,472.3,Meta
2024-02-02,24530.0,15300.0,175.5,482.0,2.0,159.5,Meta
2024-02-03,25915.0,16689.0,183.7,541.0,4.0,495.3,Meta
2024-02-04,26661.0,16976.0,184.0,532.0,3.0,214.7,Meta
2024-02-05,25881.0,16975.0,172.0,503.0,8.0,735.9,Meta
2024-02-06,25420.0,16265.0,146.39999999999998,394.0,36.0,9869.5,Meta
2024-02-07,21902.0,14517.0,143.3,405.0,26.0,4715.5,Meta
2024-02-08,21289.0,14018.0,147.0,379.0,27.0,5538.0,Meta
2024-02-09,21818.0,14666.0,165.2,442.0,26.0,5024.299999999999,Meta
2024-02-10,23015.0,15036.0,167.8,474.0,14.0,2223.6,Meta
2024-02-11,24899.0,15685.0,192.5,472.0,20.0,2769.5,Meta
2024-02-12,24625.0,15903.0,201.6,420.0,67.0,12884.0,Meta
2024-02-13,24454.0,16606.0,189.3,436.0,74.0,21320.4,Meta
2024-02-14,24771.0,16432.0,187.2,381.0,64.0,13603.900000000001,Meta
2024-02-15,24320.0,15375.0,173.2,611.0,52.0,8354.8,Meta
2024-02-16,22739.0,16260.0,167.4,564.0,52.0,7144.5,Meta
2024-02-17,23695.0,15852.0,168.5,657.0,26.0,3020.6,Meta
2024-02-18,23641.0,16106.0,166.1,618.0,22.0,4067.2,Meta
2024-02-19,32400.0,21944.0,222.10000000000002,901.0,10.0,1845.1,Meta
2024-02-20,33758.0,23228.0,219.0,846.0,11.0,1185.7,Meta
2024-02-21,37130.0,25458.0,212.8,873.0,12.0,1124.9,Meta
2024-02-22,42981.0,30279.0,212.3,844.0,10.0,1685.1999999999998,Meta
2024-02-23,40111.0,28799.0,211.7,712.0,15.0,2449.5,Meta
2024-02-24,36751.0,26679.0,211.9,852.0,11.0,1608.3,Meta
2024-02-25,41030.0,29943.0,221.8,888.0,15.0,2737.0,Meta
2024-02-26,42676.0,30165.0,215.1,673.0,17.0,2445.3,Meta
2024-02-27,40602.0,28587.0,209.9,776.0,22.0,2930.7,Meta
2024-02-28,39693.0,28534.0,205.8,662.0,15.0,1454.3,Meta
2024-02-29,38732.0,28161.0,200.5,644.0,22.0,8285.599999999999,Meta
2024-03-01,36059.0,25037.0,205.3,779.0,16.0,2617.6,Meta
2024-03-02,38001.0,26036.0,211.5,873.0,10.0,1712.4,Meta
2024-03-03,42228.0,28276.0,238.0,819.0,15.0,1926.5,Meta
2024-03-04,37164.0,22865.0,232.39999999999998,816.0,16.0,2248.5,Meta
2024-03-05,38940.0,24816.0,225.3,815.0,16.0,3506.2999999999997,Meta
2024-03-06,41413.0,27075.0,220.6,810.0,24.0,4393.4,Meta
2024-03-07,42155.0,28119.0,217.1,769.0,23.0,2761.4,Meta
2024-03-08,44052.0,29522.0,215.3,769.0,23.0,3961.9,Meta
2024-03-09,43500.0,29312.0,219.3,841.0,13.0,5090.2,Meta
2024-03-10,44501.0,28612.0,236.5,824.0,15.0,1635.9,Meta
2024-03-11,39905.0,25494.0,230.5,664.0,17.0,2453.4,Meta
2024-03-12,40756.0,27417.0,223.4,716.0,22.0,2560.5,Meta
2024-03-13,37774.0,24680.0,222.4,641.0,18.0,3572.0,Meta
2024-03-14,34972.0,22669.0,218.4,672.0,31.0,5925.3,Meta
2024-03-15,36289.0,24132.0,218.2,563.0,23.0,2856.7,Meta
2024-03-16,36802.0,24915.0,218.89999999999998,546.0,18.0,3019.0,Meta
2024-03-17,39964.0,26418.0,236.8,597.0,10.0,1125.7,Meta
2024-03-18,36794.0,23285.0,229.4,555.0,19.0,3664.1,Meta
2024-03-19,36580.0,24126.0,224.6,613.0,24.0,3309.2000000000003,Meta
2024-03-20,37650.0,25017.0,219.2,586.0,21.0,4610.2,Meta
2024-03-21,35553.0,23806.0,218.0,555.0,28.0,4446.9,Meta
2024-03-22,36533.0,24518.0,218.6,633.0,24.0,3093.5,Meta
2024-03-23,37033.0,24544.0,229.6,733.0,15.0,1317.6,Meta
2024-03-24,42523.0,28127.0,251.2,803.0,16.0,1582.4,Meta
2024-03-25,42492.0,28350.0,242.1,757.0,48.0,5717.6,Meta
2024-03-26,41046.0,27481.0,233.7,758.0,55.0,9953.8,Meta
2024-03-27,36501.0,25192.0,218.2,775.0,29.0,3243.4,Meta
