Date,Campaign type,Impressions,Clicks,Cost,Conversions,Revenue
2024-01-01,Audience,9132.0,50.0,26.8,0.0,0.0
2024-01-02,Audience,9926.0,49.0,25.9,0.0,0.0
2024-01-03,Audience,7613.0,48.0,24.1,0.0,0.0
2024-01-04,Audience,9176.0,44.0,24.3,0.0,0.0
2024-01-05,Audience,10253.0,44.0,24.7,0.0,0.0
2024-01-06,Audience,9330.0,44.0,23.6,0.0,0.0
2024-01-07,Audience,14104.0,48.0,24.7,0.0,0.0
2024-01-08,Audience,7622.0,49.0,26.5,0.0,0.0
2024-01-09,Audience,8048.0,44.0,24.1,1.0,206.4
2024-01-10,Audience,9464.0,45.0,25.2,0.0,0.0
2024-01-11,Audience,9760.0,45.0,25.1,0.0,0.0
2024-01-12,Audience,8992.0,47.0,25.1,1.0,238.4
2024-01-13,Audience,11192.0,47.0,24.9,0.0,0.0
2024-01-14,Audience,6320.0,48.0,25.7,0.0,0.0
2024-01-15,Audience,9786.0,49.0,26.3,0.0,0.0
2024-01-16,Audience,9856.0,47.0,25.8,0.0,0.0
2024-01-17,Audience,11279.0,48.0,25.6,1.0,273.5
2024-01-18,Audience,6678.0,44.0,22.0,0.0,0.0
2024-01-19,Audience,10216.0,42.0,21.7,0.0,0.0
2024-01-20,Audience,10364.0,40.0,22.6,1.0,210.3
2024-01-21,Audience,7485.0,42.0,22.4,0.0,0.0
2024-01-22,Audience,10126.0,39.0,21.7,0.0,0.0
2024-01-23,Audience,11701.0,41.0,21.9,0.0,0.0
2024-01-24,Audience,9485.0,40.0,21.6,0.0,0.0
2024-01-25,Audience,9916.0,43.0,22.8,0.0,0.0
2024-01-26,Audience,9584.0,44.0,23.5,0.0,0.0
2024-01-27,Audience,6973.0,40.0,23.0,0.0,0.0
2024-01-28,Audience,9703.0,39.0,20.4,0.0,0.0
2024-01-29,Audience,9777.0,43.0,23.0,1.0,191.9
2024-01-30,Audience,7575.0,37.0,20.4,0.0,0.0
2024-01-31,Audience,6422.0,28.0,15.1,0.0,0.0
2024-02-01,Audience,9987.0,43.0,23.2,0.0,0.0
2024-02-02,Audience,13544.0,45.0,24.0,0.0,0.0
2024-02-03,Audience,12528.0,48.0,26.1,0.0,0.0
2024-02-04,Audience,7652.0,46.0,25.8,0.0,0.0
2024-02-05,Audience,14140.0,52.0,27.3,0.0,0.0
2024-02-06,Audience,13652.0,48.0,25.2,0.0,0.0
2024-02-07,Audience,11217.0,52.0,27.9,1.0,231.8
