Date,Platform,Campaign type,ROI_moving_avg,Click Through Rate_moving_avg,Conversion Rate_moving_avg
2024-01-01,Google,Cross-network,7.50047820455054,0.010311639345892926,0.04413215739897997
2024-01-02,Google,Cross-network,7.50047820455054,0.010311639345892926,0.04413215739897997
2024-01-03,Google,Cross-network,7.50047820455054,0.010311639345892926,0.04413215739897997
2024-01-04,Google,Cross-network,7.50047820455054,0.010311639345892926,0.04413215739897997
2024-01-05,Google,Cross-network,7.50047820455054,0.010311639345892926,0.04413215739897997
2024-01-06,Google,Cross-network,7.50047820455054,0.010311639345892926,0.04413215739897997
2024-01-07,Google,Cross-network,7.50047820455054,0.010311639345892928,0.04413215739897997
2024-01-08,Google,Cross-network,7.750896696606387,0.010472842312440615,0.04629467828283228
2024-01-09,Google,Cross-network,8.319489787134675,0.010620567568636871,0.04905121553856949
2024-01-10,Google,Cross-network,8.6078738252826,0.010686067376461843,0.05058946709420803
2024-01-11,Google,Cross-network,8.575792562408944,0.010465690175245113,0.05200776827096111
2024-01-12,Google,Cross-network,8.595632467244467,0.010208481777711541,0.052067553975281844
2024-01-13,Google,Cross-network,8.435777171098888,0.009898130729877686,0.051622574379725915
2024-01-14,Google,Cross-network,7.872681236261253,0.009575954443213686,0.04920909902942643
2024-01-15,Google,Cross-network,7.299311105356659,0.00913275005544,0.04698913416280597
2024-01-16,Google,Cross-network,6.768134828587009,0.008743252416099656,0.04414620548890407
2024-01-17,Google,Cross-network,6.217327485718306,0.0084178795427052,0.041231341864933845
2024-01-18,Google,Cross-network,5.824207857847079,0.008137346009789357,0.038734210261956614
2024-01-19,Google,Cross-network,5.354541050259824,0.0078652254220659,0.03773151159527736
2024-01-20,Google,Cross-network,5.223221159251746,0.0077063705736143285,0.03705770437668538
2024-01-21,Google,Cross-network,5.170342141361663,0.007450175239058028,0.03609230749372467
2024-01-22,Google,Cross-network,5.049477117377641,0.007225600793554957,0.035195697336150786
2024-01-23,Google,Cross-network,4.631078297624015,0.0070688255579545575,0.0340780679599734
2024-01-24,Google,Cross-network,4.5038036138043775,0.006958775519627571,0.03371656709620173
2024-01-25,Google,Cross-network,4.386726337796122,0.006950937910410872,0.03276043651284306
2024-01-26,Google,Cross-network,4.650055146902294,0.006944116981658657,0.0333749247152502
2024-01-27,Google,Cross-network,4.4503257317434946,0.006811464640880643,0.032888036401043576
2024-01-28,Google,Cross-network,4.441967311736095,0.006843823601038944,0.03332902849731067
2024-01-29,Google,Cross-network,4.335900862086886,0.006857522736937642,0.03306783357765083
2024-01-30,Google,Cross-network,4.382173719260083,0.006843484960506243,0.03311838467986385
2024-01-31,Google,Cross-network,4.381747966353586,0.006825345013872442,0.03319820702639227
2024-02-01,Google,Cross-network,4.275642916482753,0.0067935421202114,0.032423940784696986
2024-02-02,Google,Cross-network,4.205588799845229,0.006745307395471957,0.031102021691673202
2024-02-03,Google,Cross-network,4.180446181433284,0.006735338532001171,0.030434482107786882
2024-02-04,Google,Cross-network,4.185480717787087,0.0067105292592207575,0.030206351093706445
2024-02-05,Google,Cross-network,4.2378207729009505,0.006720174985393144,0.030741981620192267
2024-02-06,Google,Cross-network,4.423894988020795,0.006731320024047172,0.03165669664065649
2024-02-07,Google,Cross-network,4.391873270492704,0.006813558408296572,0.0318853136782184
2024-02-08,Google,Cross-network,4.34372938619242,0.0068411202595919,0.031614789635498096
2024-02-09,Google,Cross-network,4.2192050834138275,0.006870038963346329,0.0317814961841142
2024-02-10,Google,Cross-network,4.275094357827698,0.006865769381365657,0.032228017954333686
2024-02-11,Google,Cross-network,4.269381332697991,0.006862548066964629,0.032071618166334144
2024-02-12,Google,Cross-network,4.398417776509662,0.006824194160928085,0.03215891055152432
2024-02-13,Google,Cross-network,4.259381349711494,0.006830636446950499,0.03201754574234793
2024-02-14,Google,Cross-network,4.480175375957582,0.006791720621970228,0.032486700571644586
2024-02-15,Google,Cross-network,4.722833522142261,0.006849644854256986,0.03373187714802812
2024-02-16,Google,Cross-network,4.814649952718569,0.006875971006987657,0.0345380543055245
2024-02-17,Google,Cross-network,4.798388965750107,0.006937256613696587,0.03432467914406683
2024-02-18,Google,Cross-network,4.930339365683774,0.006956410116754343,0.03506301997493033
2024-02-19,Google,Cross-network,4.996438888727984,0.007020895258797457,0.03660235538540333
2024-02-20,Google,Cross-network,5.197485311601554,0.007101264782946285,0.0375128308128047
2024-02-21,Google,Cross-network,5.27365325901859,0.0071530596364029145,0.03786514854932886
2024-02-22,Google,Cross-network,5.01572895166236,0.007170259962276757,0.0363456266774269
2024-02-23,Google,Cross-network,5.1421637260867765,0.0071877851322487,0.03593694122805654
2024-02-24,Google,Cross-network,5.368312010144942,0.007211680010709471,0.037077821793583064
2024-02-25,Google,Cross-network,5.328721620073899,0.007219857199416785,0.036500892625940765
2024-02-26,Google,Cross-network,5.21417894148883,0.007281030826311557,0.03487834142785958
2024-02-27,Google,Cross-network,5.029716199136919,0.007287465700478528,0.033902543889084744
2024-02-28,Google,Cross-network,4.818852725732773,0.007288723027128614,0.032800379663803426
2024-02-29,Google,Cross-network,5.213265286273106,0.007289943932329615,0.03455502248410613
2024-03-01,Google,Cross-network,5.192533320759493,0.007458724074414956,0.0349709720078671
2024-03-02,Google,Cross-network,5.189003080170832,0.007659668980281186,0.03473196226771648
2024-03-03,Google,Cross-network,5.360266583575173,0.007880975811777543,0.03610000342536337
2024-03-04,Google,Cross-network,5.658320824490049,0.008005345893918842,0.036762020863025144
2024-03-05,Google,Cross-network,5.646470943200483,0.008090823317327514,0.036123095763308924
2024-03-06,Google,Cross-network,5.73074395320632,0.008174842629469301,0.037206834188293056
2024-03-07,Google,Cross-network,5.444444182385842,0.008244413840313228,0.03715806777252496
2024-03-08,Google,Cross-network,5.41241788410636,0.008169318093854957,0.037283863739008126
2024-03-09,Google,Cross-network,5.345604488605768,0.0080323651059513,0.03650813191566112
2024-03-10,Google,Cross-network,5.60404011932279,0.007823216753153913,0.0359243364024013
2024-03-11,Google,Cross-network,5.32624448313321,0.007690877659415857,0.035966664482319714
2024-03-12,Google,Cross-network,5.530711912312169,0.007677171554152143,0.037315767359392696
2024-03-13,Google,Cross-network,5.604347570249869,0.007640874402917914,0.03737988314563824
2024-03-14,Google,Cross-network,5.900773250368841,0.007597065394062858,0.037558907390933156
2024-03-15,Google,Cross-network,5.6682431992519335,0.007564655388905185,0.03657454397430526
2024-03-16,Google,Cross-network,5.9488212861927865,0.0075492527618578,0.03739883708499279
2024-03-17,Google,Cross-network,5.45140274316776,0.007647444785812943,0.03661006648748094
2024-03-18,Google,Cross-network,5.579748293582817,0.0076788003638105715,0.03712297932553556
2024-03-19,Google,Cross-network,5.451633992051571,0.007650637438857429,0.036417266034111384
2024-03-20,Google,Cross-network,5.304416071751921,0.007674668250546099,0.03643954540808654
2024-03-21,Google,Cross-network,5.254922071913051,0.007682630380703985,0.03754983764143107
2024-03-22,Google,Cross-network,5.459685876960238,0.007699990997984058,0.03787575897343321
2024-03-23,Google,Cross-network,5.118102889087299,0.007702483227752085,0.03779731725138898
2024-03-24,Google,Cross-network,5.120322762243417,0.007629653790257143,0.03862728827864762
2024-03-25,Google,Cross-network,5.238374864145333,0.007624191462488356,0.0386111144739174
2024-03-26,Google,Cross-network,5.380354961034683,0.007630655054477743,0.03813833316640536
